n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
177,22287,droite,5,3,3,1,1,229,28,11,4,1,2,2,3,11,8,2,2,2,1,1,2,3,4,2,1
178,22465,droite,5,3,3,1,1,229,28,11,4,1,2,2,3,11,8,2,2,2,1,1,2,3,4,2,1
179,22465,droite,5,3,3,1,1,303,31,13,5,1,2,3,3,12,8,2,2,2,1,1,2,3,4,2,1
180,22672,droite,4,3,3,2,1,346,34,15,6,1,3,4,5,12,8,3,2,2,1,1,2,3,4,2,1
181,22854,droite,4,3,3,2,1,346,34,15,6,1,3,4,5,12,8,3,2,2,1,1,2,3,4,2,1
182,22857,droite,4,3,3,2,1,292,32,14,5,1,4,4,6,12,9,3,2,2,1,1,2,3,4,2,1
183,23062,droite,4,4,2,2,2,209,28,11,4,1,4,4,8,13,10,2,2,2,1,1,3,3,3,2,2
184,23260,droite,3,4,2,2,2,122,22,9,3,1,4,4,10,14,11,2,1,2,1,1,3,4,3,2,2
185,23260,droite,2,5,2,2,2,55,17,6,2,1,4,3,11,16,11,1,2,3,1,1,3,4,2,2,2
186,23469,droite,2,5,2,3,2,21,12,5,2,1,4,3,11,17,11,1,2,3,1,1,3,4,2,3,2
187,23470,droite,2,5,2,3,2,11,9,4,1,1,3,3,10,18,11,2,2,2,1,1,3,4,2,3,2
188,23679,droite,2,4,2,3,2,11,6,3,1,0,3,3,9,19,11,3,2,2,1,1,4,4,1,3,2
189,23865,droite,2,3,2,2,2,13,5,3,1,0,2,3,8,18,11,4,2,2,1,1,4,3,1,3,1
190,23868,droite,2,3,2,2,2,9,4,3,1,0,2,4,8,17,10,4,2,2,1,1,4,2,1,2,1
191,24080,droite,3,2,2,2,2,7,4,3,1,0,2,6,9,16,10,4,3,3,1,1,4,2,2,2,1
192,24273,droite,3,2,2,2,2,7,4,2,1,0,2,7,10,16,9,4,3,3,1,1,4,2,3,2,1
193,24273,droite,2,1,2,3,2,6,4,2,1,0,3,7,10,16,9,3,3,3,1,1,3,1,3,2,1
194,24492,droite,2,1,2,3,2,6,4,2,1,0,3,7,10,16,9,3,3,3,1,1,3,1,3,2,1
195,24492,droite,2,1,2,2,2,6,5,2,1,0,3,6,8,18,9,2,2,2,1,1,3,1,3,2,2
196,24687,droite,2,1,2,2,2,6,5,2,1,0,3,6,8,18,9,2,2,2,1,1,3,1,3,2,2
197,24909,droite,2,1,2,2,1,8,6,1,1,1,3,5,6,19,9,1,2,2,1,1,3,1,3,2,1
198,24912,droite,2,1,2,2,1,22,7,1,1,1,2,4,4,19,8,1,2,1,1,1,2,1,3,2,1
199,25106,droite,2,1,2,2,1,22,7,1,1,1,2,4,4,19,8,1,2,1,1,1,2,1,3,2,1
200,25108,droite,11,12,13,10,7,41,8,3,3,1,3,4,4,19,8,7,8,7,7,4,15,15,17,13,8
201,25328,droite,80,86,85,72,47,70,14,11,11,6,7,9,9,23,9,51,55,49,45,29,103,104,103,87,56
202,25531,droite,284,292,285,243,156,113,35,37,31,18,20,22,23,34,14,178,187,169,153,98,359,353,342,297,190
203,25531,droite,654,664,641,550,353,166,73,83,68,39,43,46,47,55,24,411,423,385,347,221,824,802,769,673,428
204,25761,droite,1149,1154,1108,952,608,221,124,144,114,66,73,77,78,81,37,722,734,670,601,382,1445,1393,1328,1165,738
205,25762,droite,1972,1954,1864,1602,1018,284,210,248,187,110,123,125,129,125,58,1244,1239,1133,1012,639,2475,2358,2233,1961,1234
206,25986,droite,2026,1997,1901,1631,1034,271,216,256,189,112,126,126,131,127,59,1280,1265,1157,1031,649,2543,2410,2277,1999,1255
207,25986,droite,2026,1997,1901,1631,1034,271,216,256,189,112,126,126,131,127,59,1280,1265,1157,1031,649,2543,2410,2277,1999,1255
208,26205,droite,1783,1749,1662,1424,901,232,191,227,164,98,110,109,114,113,52,1130,1107,1012,900,565,2240,2110,1990,1745,1093
209,26206,droite,1332,1299,1232,1053,665,177,145,173,122,73,82,80,85,88,40,846,821,750,665,416,1675,1567,1475,1291,806
210,26449,droite,400,383,362,306,192,79,54,60,37,22,25,23,26,37,16,253,240,219,192,120,508,462,433,375,233
211,26449,droite,140,131,123,102,64,53,30,28,14,8,9,8,10,23,10,86,80,73,63,39,179,157,147,125,77
212,26664,droite,32,28,25,20,12,43,22,14,4,3,3,2,4,17,8,16,15,13,11,7,41,32,30,24,15
213,26911,droite,13,7,6,5,2,38,22,10,2,1,2,1,2,17,7,1,1,1,1,1,14,7,6,5,3
214,26914,droite,13,7,6,5,2,38,22,10,2,1,2,1,2,17,7,1,1,1,1,1,14,7,6,5,3
215,27134,droite,22,10,6,5,2,23,21,9,2,1,2,1,2,18,7,1,1,1,1,1,21,10,6,4,2
216,27135,droite,26,11,7,5,2,17,19,10,2,1,2,1,2,19,7,1,1,1,1,1,25,11,7,4,2
217,27378,droite,26,11,7,5,2,17,19,10,2,1,2,1,2,19,7,1,1,1,1,1,25,11,7,4,2
