n,time,AF3_theta,AF3_alpha,AF3_betaL,AF3_betaH,AF3_gamma,T7_theta,T7_alpha,T7_betaL,T7_betaH,T7_gamma,Pz_theta,Pz_alpha,Pz_betaL,Pz_betaH,Pz_gamma,T8_theta,T8_alpha,T8_betaL,T8_betaH,T8_gamma,AF4_theta,AF4_alpha,AF4_betaL,AF4_betaH,AF4_gamma
160,20229,neutre,678,94,45,22,22,1782,275,120,76,35,5,2,7,6,8,0,0,0,0,0,595,85,46,23,22
161,20231,neutre,770,112,46,23,29,1510,200,87,54,26,5,2,6,7,9,0,0,0,0,0,690,118,55,26,32
162,20428,neutre,809,135,51,23,36,1184,133,59,35,18,4,3,6,8,10,0,0,0,0,0,743,159,66,30,42
163,20608,neutre,778,155,56,24,42,835,79,39,21,13,4,4,4,10,11,0,0,0,0,0,731,194,76,33,50
164,20608,neutre,669,166,59,23,45,521,45,27,12,10,3,5,3,10,12,0,0,0,0,0,645,212,79,34,53
165,20809,neutre,516,158,57,22,42,314,29,20,8,8,3,5,2,11,12,1,1,0,0,0,510,203,75,32,50
166,20994,neutre,366,133,50,19,36,196,28,18,7,7,6,6,2,11,12,7,4,2,1,1,374,170,64,28,41
167,20997,neutre,438,119,41,20,19,724,247,101,24,14,334,63,30,16,21,633,181,49,9,25,478,75,43,28,16
168,21202,neutre,438,119,41,20,19,724,247,101,24,14,334,63,30,16,21,633,181,49,9,25,478,75,43,28,16
169,21206,neutre,646,282,63,33,24,1227,369,155,36,19,572,101,48,20,28,1155,282,72,15,37,728,178,70,48,25
170,21386,neutre,1250,715,203,120,59,1339,326,162,43,22,390,68,31,14,20,944,179,48,16,26,2120,854,316,204,93
171,21389,neutre,1574,884,283,168,80,1374,299,160,45,23,248,45,20,11,14,659,116,34,14,18,2948,1202,454,290,129
172,21594,neutre,1840,1005,350,206,96,1445,282,160,46,25,144,28,12,9,9,403,67,23,12,11,3678,1480,566,360,157
173,21786,neutre,1921,1033,379,222,103,1489,272,156,46,25,102,22,11,10,7,213,39,17,10,7,4009,1592,612,389,168
174,22003,neutre,1782,947,357,207,96,1464,254,146,43,24,128,25,19,14,7,111,27,14,8,5,3837,1492,572,364,156
175,22006,neutre,1426,763,289,166,77,1321,221,126,38,21,197,34,33,19,9,64,22,12,7,3,3150,1207,459,292,125
176,22192,neutre,989,526,196,111,53,1079,173,101,32,18,282,43,49,25,11,48,19,10,5,2,2228,827,308,197,85
177,22403,neutre,555,296,107,60,29,822,121,75,27,14,355,50,61,30,14,42,16,8,4,2,1277,461,166,107,46
178,22403,neutre,242,127,43,24,12,598,78,54,24,11,383,52,66,31,16,34,13,7,3,2,571,195,67,44,19
179,22596,neutre,71,35,11,6,3,462,48,38,21,9,363,48,61,30,16,30,10,5,3,1,176,54,16,11,5
180,22596,neutre,12,5,1,1,0,371,32,27,18,8,297,39,50,26,15,22,7,4,2,1,38,8,2,2,1
181,22814,neutre,5,1,0,0,0,303,22,18,14,7,212,28,36,21,14,15,4,2,1,1,24,2,1,1,1
182,23014,neutre,5,1,0,0,0,236,15,11,10,5,128,20,24,16,12,8,2,1,1,0,30,2,1,2,2
